SKU,Name,Brand,Category,Series,Poles,RatedCurrent_A,Capacity_kVAr,BreakingCapacity_kA,LeakageCurrent_mA,Width_mm,Height_mm,Depth_mm,Pitch_mm,Price_VND
A2C 3P 160A,Formula DSA MCCB A2C 3P 160A 25kA — 1SDA066776R1,ABB,MCCB,Formula A2C,3,160,,25,,105,165,103,35,5305300
A2C 4P 160A,Formula DSA MCCB A2C 4P 160A 25kA — 1SDA066788R1,ABB,MCCB,Formula A2C,4,160,,25,,140,165,103,35,7161000
A2C 3P 175A,Formula DSA MCCB A2C 3P 175A 25kA — 1SDA066777R1,ABB,MCCB,Formula A2C,3,175,,25,,105,165,103,35,6241400
A2C 4P 175A,Formula DSA MCCB A2C 4P 175A 25kA — 1SDA066789R1,ABB,MCCB,Formula A2C,4,175,,25,,140,165,103,35,8426000
A2C 3P 200A,Formula DSA MCCB A2C 3P 200A 25kA — 1SDA066778R1,ABB,MCCB,Formula A2C,3,200,,25,,105,165,103,35,6241400
A2C 4P 200A,Formula DSA MCCB A2C 4P 200A 25kA — 1SDA066790R1,ABB,MCCB,Formula A2C,4,200,,25,,140,165,103,35,8426000
A2C 3P 225A,Formula DSA MCCB A2C 3P 225A 25kA — 1SDA066779R1,ABB,MCCB,Formula A2C,3,225,,25,,105,165,103,35,6241400
A2C 4P 225A,Formula DSA MCCB A2C 4P 225A 25kA — 1SDA066791R1,ABB,MCCB,Formula A2C,4,225,,25,,140,165,103,35,8426000
A2C 3P 250A,Formula DSA MCCB A2C 3P 250A 25kA — 1SDA066780R1,ABB,MCCB,Formula A2C,3,250,,25,,105,165,103,35,6241400
A2C 4P 250A,Formula DSA MCCB A2C 4P 250A 25kA — 1SDA066792R1,ABB,MCCB,Formula A2C,4,250,,25,,140,165,103,35,8426000
A1N 3P 20A,Formula DSA MCCB A1N 3P 20A 36kA — 1SDA066722R1,ABB,MCCB,Formula A1N,3,20,,36,,90,130,70,30,2583900
A1N 4P 20A,Formula DSA MCCB A1N 4P 20A 36kA — 1SDA066758R1,ABB,MCCB,Formula A1N,4,20,,36,,120,130,70,30,3487000
A1N 3P 25A,Formula DSA MCCB A1N 3P 25A 36kA — 1SDA066723R1,ABB,MCCB,Formula A1N,3,25,,36,,90,130,70,30,2583900
A1N 4P 25A,Formula DSA MCCB A1N 4P 25A 36kA — 1SDA066759R1,ABB,MCCB,Formula A1N,4,25,,36,,120,130,70,30,3487000
A1N 3P 32A,Formula DSA MCCB A1N 3P 32A 36kA — 1SDA068760R1,ABB,MCCB,Formula A1N,3,32,,36,,90,130,70,30,2583900
A1N 4P 32A,Formula DSA MCCB A1N 4P 32A 36kA — 1SDA068764R1,ABB,MCCB,Formula A1N,4,32,,36,,120,130,70,30,3487000
A1N 3P 40A,Formula DSA MCCB A1N 3P 40A 36kA — 1SDA066725R1,ABB,MCCB,Formula A1N,3,40,,36,,90,130,70,30,2583900
A1N 4P 40A,Formula DSA MCCB A1N 4P 40A 36kA — 1SDA066761R1,ABB,MCCB,Formula A1N,4,40,,36,,120,130,70,30,3487000
A1N 3P 50A,Formula DSA MCCB A1N 3P 50A 36kA — 1SDA066726R1,ABB,MCCB,Formula A1N,3,50,,36,,90,130,70,30,2583900
A1N 4P 50A,Formula DSA MCCB A1N 4P 50A 36kA — 1SDA066762R1,ABB,MCCB,Formula A1N,4,50,,36,,120,130,70,30,3487000
A1N 3P 63A,Formula DSA MCCB A1N 3P 63A 36kA — 1SDA068771R1,ABB,MCCB,Formula A1N,3,63,,36,,90,130,70,30,2886400
A1N 4P 63A,Formula DSA MCCB A1N 4P 63A 36kA — 1SDA068775R1,ABB,MCCB,Formula A1N,4,63,,36,,120,130,70,30,3897300
A1N 3P 80A,Formula DSA MCCB A1N 3P 80A 36kA — 1SDA066729R1,ABB,MCCB,Formula A1N,3,80,,36,,90,130,70,30,2886400
A1N 4P 80A,Formula DSA MCCB A1N 4P 80A 36kA — 1SDA066765R1,ABB,MCCB,Formula A1N,4,80,,36,,120,130,70,30,3897300
A1N 3P 100A,Formula DSA MCCB A1N 3P 100A 36kA — 1SDA066731R1,ABB,MCCB,Formula A1N,3,100,,36,,90,130,70,30,3039300
A1N 4P 100A,Formula DSA MCCB A1N 4P 100A 36kA — 1SDA066767R1,ABB,MCCB,Formula A1N,4,100,,36,,120,130,70,30,4104100
A1N 3P 125A,Formula DSA MCCB A1N 3P 125A 36kA — 1SDA066732R1,ABB,MCCB,Formula A1N,3,125,,36,,90,130,70,30,3647600
A1N 4P 125A,Formula DSA MCCB A1N 4P 125A 36kA — 1SDA066768R1,ABB,MCCB,Formula A1N,4,125,,36,,120,130,70,30,4922500
A2N 3P 150A,Formula DSA MCCB A2N 3P 150A 36kA — 1SDA068781R1,ABB,MCCB,Formula A2N,3,150,,36,,105,165,103,35,5887200
A2N 4P 150A,Formula DSA MCCB A2N 4P 150A 36kA — 1SDA068784R1,ABB,MCCB,Formula A2N,4,150,,36,,140,165,103,35,7948600
A2N 3P 160A,Formula DSA MCCB A2N 3P 160A 36kA — 1SDA066782R1,ABB,MCCB,Formula A2N,3,160,,36,,105,165,103,35,887200
A2N 4P 160A,Formula DSA MCCB A2N 4P 160A 36kA — 1SDA066794R1,ABB,MCCB,Formula A2N,4,160,,36,,140,165,103,35,7948600
A2N 3P 175A,Formula DSA MCCB A2N 3P 175A 36kA — 1SDA066783R1,ABB,MCCB,Formula A2N,3,175,,36,,105,165,103,35,6925600
A2N 4P 175A,Formula DSA MCCB A2N 4P 175A 36kA — 1SDA066795R1,ABB,MCCB,Formula A2N,4,175,,36,,140,165,103,35,9350000
A2N 3P 200A,Formula DSA MCCB A2N 3P 200A 36kA — 1SDA066784R1,ABB,MCCB,Formula A2N,3,200,,36,,105,165,103,35,6925600
A2N 4P 200A,Formula DSA MCCB A2N 4P 200A 36kA — 1SDA066796R1,ABB,MCCB,Formula A2N,4,200,,36,,140,165,103,35,9350000
A2N 3P 225A,Formula DSA MCCB A2N 3P 225A 36kA — 1SDA066785R1,ABB,MCCB,Formula A2N,3,225,,36,,105,165,103,35,6925600
A2N 4P 225A,Formula DSA MCCB A2N 4P 225A 36kA — 1SDA066797R1,ABB,MCCB,Formula A2N,4,225,,36,,140,165,103,35,9350000
A2N 3P 250A,Formula DSA MCCB A2N 3P 250A 36kA — 1SDA066786R1,ABB,MCCB,Formula A2N,3,250,,36,,105,165,103,35,6925600
A2N 4P 250A,Formula DSA MCCB A2N 4P 250A 36kA — 1SDA066798R1,ABB,MCCB,Formula A2N,4,250,,36,,140,165,103,35,9350000
A3N 3P 320A,Formula DSA MCCB A3N 3P 320A 36kA — 1SDA00066560R1,ABB,MCCB,Formula A3N,3,320,,36,,140,275,103,45,10693100
A3N 4P 320A,Formula DSA MCCB A3N 4P 320A 36kA — 1SDA066568R1,ABB,MCCB,Formula A3N,4,320,,36,,185,275,103,45,14436400
A3N 3P 400A,Formula DSA MCCB A3N 3P 400A 36kA — 1SDA066561R1,ABB,MCCB,Formula A3N,3,400,,36,,140,275,103,45,10693100
A3N 4P 400A,Formula DSA MCCB A3N 4P 400A 36kA — 1SDA066569R1,ABB,MCCB,Formula A3N,4,400,,36,,185,275,103,45,14436400
A3N 3P 500A,Formula DSA MCCB A3N 3P 500A 36kA — 1SDA066564R1,ABB,MCCB,Formula A3N,3,500,,36,,140,275,103,45,13607000
A3N 4P 500A,Formula DSA MCCB A3N 4P 500A 36kA — 1SDA066572R1,ABB,MCCB,Formula A3N,4,500,,36,,185,275,103,45,18370000
A3N 3P 630A,Formula DSA MCCB A3N 3P 630A 36kA — 1SDA066566R1,ABB,MCCB,Formula A3N,3,630,,36,,140,275,103,45,15648600
A3N 4P 630A,Formula DSA MCCB A3N 4P 630A 36kA — 1SDA066574R1,ABB,MCCB,Formula A3N,4,630,,36,,185,275,103,45,21125500
A3S 3P 320A,Formula DSA MCCB A3S 3P 320A 50kA — 1SDA066562R1,ABB,MCCB,Formula A3S,3,320,,50,,140,275,103,45,11738100
A3S 4P 320A,Formula DSA MCCB A3S 4P 320A 50kA — 1SDA00066570R1,ABB,MCCB,Formula A3S,4,320,,50,,185,275,103,45,15846600
A3S 3P 400A,Formula DSA MCCB A3S 3P 400A 50kA — 1SDA066563R1,ABB,MCCB,Formula A3S,3,400,,50,,140,275,103,45,11738100
A3S 4P 400A,Formula DSA MCCB A3S 4P 400A 50kA — 1SDA066571R1,ABB,MCCB,Formula A3S,4,400,,50,,185,275,103,45,15846600
A3S 3P 500A,Formula DSA MCCB A3S 3P 500A 50kA — 1SDA066565R1,ABB,MCCB,Formula A3S,3,500,,50,,140,275,103,45,15240500
A3S 4P 500A,Formula DSA MCCB A3S 4P 500A 50kA — 1SDA066573R1,ABB,MCCB,Formula A3S,4,500,,50,,185,275,103,45,20573300
A3S 3P 630A,Formula DSA MCCB A3S 3P 630A 50kA — 1SDA066567R1,ABB,MCCB,Formula A3S,3,630,,50,,140,275,103,45,17526300
A3S 4P 630A,Formula DSA MCCB A3S 4P 630A 50kA — 1SDA066575R1,ABB,MCCB,Formula A3S,4,630,,50,,185,275,103,45,23658800
DSP 3P 16A 18kA,Formula DSP MCCB 3P 16A 18kA — 1SDA116203R1,ABB,MCCB,Formula DSP,3,16,,18,,90,130,70,30,2468400
DSP 4P 16A 18kA,Formula DSP MCCB 4P 16A 18kA — 1SDA116214R1,ABB,MCCB,Formula DSP,4,16,,18,,120,130,70,30,3330800
DSP 3P 20A 18kA,Formula DSP MCCB 3P 20A 18kA — 1SDA116204R1,ABB,MCCB,Formula DSP,3,20,,18,,90,130,70,30,2468400
